Society_Polity,State_Formation_low,State_Formation_high,formation,Adulthood_Date,Peak_Power,Collapse_low,Collapse_high,collapse,Approx_age,age,Political_Type,Political_Sub_Type,Region,Capital,Source,Proximate_Cause,Underlying_Cause,Collapse_Tra,Notes,Relatationship,Capital_1,lat1,continent,lon1,Capital_2,lat2,lon2,Capital_3,lat3,lon3,violience_attractor,censored
Timurid Empire,1363,1370,1366.5,,1405,1501,,1501,131-138 years,134.5,Empire,unknown,Western Asia,"Samarkand (1370–1405), Herat (1405–1507)

","Taagepera (1997) , partly verified by Seshat (2020) and (2016).","Rebellion led by Shibani Khan ended the Timurid rule. But the new government was largely continous with the old. Babu (previous elite) migrated to India and established the Mughal Empire, which was largely a continuation of the Timurid.",Transformation.,,,,Samarkand,39.7,Asia,66.98333333,Herat,34.34194444,62.20305556,,,,,FALSE
Duchy of Burgandy,1363,,1363,,,1477,,1477,114-114 years,114,State,unknown,Western Europe,,Crombie (2016),Invaded by Louis XI of France,Charles the bold of Burgundy had a poor relationship with France; involved in civil war in 1468,,,,,,,,,,,,,,,FALSE
Ming Dynasty,1368,,1368,,,1644,1690,1667,276-322 years,299,Empire,Imperial Dynasty,Eastern Asia,"Nanjing (Yingtian prefecture) (1368–1644), Beijing (Shuntian prefecture) (1403–1644)","Hoffmann (2015), Qiu (1993) and Wilkinson (2018) for early end date, and Zhang et al (2005a) and Taagepera (1996) for later end date.Verified with Lee and Chan (2016).",Conquest by Manchu.,,,,,Nanjing (Yingtian prefecture) (1368–1644),32.05837,Asia,118.79647,Beijing (Shuntian prefecture) (1403–1644),39.91666667,116.3833333,,,,,FALSE
Tepanec Empire,1371,,1371,,,1426,,1426,55-55 years,55,Empire,unknown,Central Europe,Azcapotzalco,Smith (2016),Usurped by a Mexica alliance and replaced with the Aztec Emprie. Rose and fell wity Emperor Tezozomoc.,,,,,,,,,,,,,,,,FALSE
Songhai Empire - Sonni Dynasty,1376,,1376,,,1493,1591,1542,117-215 years,166,Empire,Imperial Dynasty,Western Africa,"Kukya, Gao","Seshat (2020), late collapse date from (Amoah-Boampong, 2016)",Moroccan invasion.,,,Combine with Aksiya Dynasty?,,"Kukya (precise location unknown, but in approximately the same area as Gao on the Niger River).",,Africa,,Gao,16.266667,-0.05,,,,,FALSE
Choson Dynasty,1392,,1392,,1450,1600,1910,1755,208-518 years,363,Kingdom,Dynasty,South-Eastern Asia,Hanyang,"DRH (2020), Late end date and proximate cause of collapse Karlsson (2016).",Colonised by the Japanese in 1910.,,,Encyclopedia of empire (2016) does not mention collapse in 1600.,,Hanyang,37.566667,Asia,126.966667,,,,,,,,FALSE
Melaka (Malacca) Sultanate,1403,,1403,,,1511,1528,1519.5,108-125 years,116.5,Empire,Sultanate,South-Eastern Asia,Melaka (city),Borschberg (2016),Melaka city taken by Portuguese in 1511 - not strictly the end of the sultanate - polity continued  until supplanted by the the Johor-Riau Empire in 1528,,,,,,,,,,,,,,,,FALSE
Nogai Horde,1406,,1406,,1500,1558,,1558,152-152 years,152,Confederacy,unknown,Eastern Europe,,Davies (2016),Split into three parts (Including the Greats Nogais and Lesser Nogais) after the famine of 1556-1558,A polarisation of Nogai elites into pro-Moscaw and anti-Moscow parties,,,,,,,,,,,,,,,FALSE
Portuguese Empire,1415,1500,1457.5,,1820,1975,1975,1975,475-560 years,517.5,Empire,unknown,Southern Europe / Global,Lisbon,"Taagepera (1997) , note on the Iberian Union from Schultz (2016)",Loss of colonies.,,Transformation from empire into nation-sate.,Overseas conquests begin in 1500.  Portuguese succession crisis in 1580 - Habsburg Philip II successfully claimed Portuguese crown and Spanish ruled over Portugal and its territories until 1640 (The Iberian Union).,,Lisbon,38.7252668,Europe,-9.1500193,,,,,,,,FALSE
Kingdom of Mutapa,1420,1450,1435,,,1700,1760,1730,250-340 years,295,Kingdom,unknown,Southern Africa,Zvongombe,,,,,,,,,,,,,,,,,,FALSE
Aztec Empire,1428,1440,1434,,1520,1520,,1520,80-92 years,86,Empire,unknown,South America,Tenochtitlan,Taagepera (1997),Spanish conquest.,,,"A number of rebellions under the last Aztec rule, Motecuhzoma Xocoyotzin (1502-1520) facilitated the Spanish conquest- Cortes enlisted Aztec enemies and disgruntled subjects to confront Aztec Empire",,Tenochtitlan,19.34430556,N.America,-99.10362778,,,,,,,,FALSE
Gajapati Empire,1434,,1434,,,1539,,1539,105-105 years,105,Empire,unknown,Southern Asia,,Mishra (2016),"Annexed by the Afghan ruler of Bengal, Sulaiman Karrani","Recurrent invasions from outside the empire, economic decline, depletion of treasury due to expenditure on wars.",,,,,,,,,,,,,,,FALSE
Crimean Khanate,1440,,1440,1520,1570,1771,1783,1777,331-343 years,337,Empire,Khaganate,Eastern Asia,"Kyrk-Er (until 1503), Bakhchisarai (after 1503)",Davies (2016),Russian invasion in 1771 followed by Internal civil war and disputes regarding the terms of Russian protectorate which led to liquidation of the Crimean Khanate n 1783.,,,,,,,,,,,,,,,,FALSE
Kazan Khanate,1445,,1445,,,1552,,1552,107-107 years,107,Confederacy,unknown,Eastern Europe,Kazan,Davies (2016),Conquest by Ivan IV in 1552,,,Following the death of Khan Ibrahim in 1479 succession disputes between pro-Russian and Pro-Crimean Khans resulted in high turnover of Khans until end of Kazan Khanate in 1552.,,,,,,,,,,,,,FALSE
Duchy of Modena and Reggio,1452,1842,1647,,,1859,1860,1859.5,17-408 years,212.5,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,Created in 1452 before coming under the possession of the the French Empire during the Napoleonic Wars (1796-1814). Afterwards it bassed to the House of Este.,,Modena,44.646944,Europe,10.925556,,,,,,,,FALSE
Kazakh Khanate,1456,,1456,,,1800,1848,1824,344-392 years,368,Confederacy,unknown,Central Asia,,Lazzerini (2016),Accepted Russian Protection effectively khanate lost independence by the end of the 18th century. Russia reached full hegemony in 1848.,Drawn out struggele with the Oirots through the 17th to early 18th century weakened the Kazakh hordes by the time of the Russian threat.,,"Kazakh khanate split into three hordes (the great horde, middle horde and little horde) after the death of Kasym Khan in 1518. This could be an alternative date for collapse/transformation",,,,,,,,,,,,,FALSE
Japan (Senguko Period),1467,1590,1528.5,,,,1615,1615,25-148 years,86.5,Empire,Shogunate,Eastern Asia,,Eason (2016),,,,Early formation date (1467) refers to the ?nin war and the beginning of the Senguko period. Late formation date (1590) refers to the unification of Japan by Hideyoshi,,,,,,,,,,,,,FALSE
Spanish Empire,1482,,1482,,1810,1830,1975,1902.5,348-493 years,420.5,Empire,unknown,Southern Europe / Global,Madrid,Taagepera (1997),"Latin America gains independence in 1830, followed by Philippines in 1900, and the Sahara in 1975.","Overexpansion leading to an inability to resolve revolts (Catalans, Andalusian), defence and new miliraty fronts.",Transformation from empire into nation-sate.,,,Madrid,40.383333,Europe,-3.716667,,,,,,,,FALSE
Deccan sultanates,1482,,1482,,1570,1687,,1687,205-205 years,205,Empire,Sultanate,Southern Asia,,Fischel (2016),Invasion by the Mughals,,,Deccan sultanates a general term referring to the sultanates which succeeded the Bahmani sultanate of the the Deccan Plateau.,,,,,,,,,,,,,FALSE
Songhai Empire - Askiya Dynasty,1493,,1493,,1550,1591,,1591,98-98 years,98,Empire,Imperial Dynasty,Western Africa,Gao,Seshat (2020),,,,,,Gao,16.266667,Africa,-0.05,,,,,,,,FALSE
Kingdom of Burundi,1500,1700,1600,,,1903,,1903,203-403 years,303,Kingdom,unknown,Eastern Africa,,Van Schuylenbergh (2016),Mwezi Gisabo (c.1850-1908) recognised German Protectorate.,"Rival territories, revolts and dissident movements, and external political extrusion towards the end of the 19th century. German protectorate accepted in exchange for German help in establishing the court's authority over the kingdom.",,Formation dates based on oral tradition hence the low precision,,,,,,,,,,,,,FALSE
Shibanid Empire,1500,,1500,,,,1598,1598,98-98 years,98,Empire,Khaganate,Central Asia,,Encyclopedia of Empire (2016),Elite competition betwee  four appanage (dynastic states) ending in the usurping of Abu'l-Khagarid line by a Toquay Timurid family.,Elite competition.,,,,,,,,,,,,,,,FALSE
Sibir Khanate,1500,,1500,,,,1598,1598,98-98 years,98,Empire,Khaganate,Central Asia,Sibir,Encyclopedia of Empire (2016),Defeated by the Russian Empire.,,,,,,,,,,,,,,,,FALSE
Funj Sultanate of Sinnar,1500,,1500,,,1762,1821,1791.5,262-321 years,291.5,Empire,unknown,Eastern Africa,Sinnar,Spaulding (2016),Egyptian conquest in 1821,,,Early end date (1762) refers to the Funj dynasty being overthrown by a warlord alliance called the Hamaj. Warlords gained power at the expense of the king due to an economic transformation from fuedal obligations to monetary bonds associated with the emergence of a large urban socio-economic middle class during the 18th century.,,,,,,,,,,,,,FALSE
Luba Empire / Kingdom of Luba,1500,1700,1600,,,1889,1889,1889,189-389 years,289,Empire,unknown,Central Africa,,"Macola (2016), Reefe (1981) and Wrigley (2009) for low state formation date.",Raided for slaves and eventually absorbed by the Belgian Congo.,,,,,,,,,,,,,,,,FALSE
Safavid Empire,1501,,1501,,1629,1722,,1722,221-221 years,221,Empire,unknown,Western Asia,"Qazvin, Tabriz",Seshat (2020),,,,,,Qazvin,36.26666667,Asia,50,Tabriz,38.066667,46.3,,,,,FALSE
Wadai/Ouaddai Empire,1501,,1501,,,1909,1912,1910.5,408-411 years,409.5,Empire,unknown,Central Africa,,Saxon (2016),,,,,,,,,,,,,,,,,FALSE
Burmese Empire II (Toungoo Empire),1510,,1510,,,1599,1752,1675.5,89-242 years,165.5,Empire,unknown,South-Eastern Asia,,Charney (2016),Civil war,A range of different interests in Lower Burma coincided. Led to a major revolt and re-establishment of an independent court at Pegu. This revolt grew into a civil war which reached a military impasse until 1751,,"The First Toungoo Dynasty collapsed in 1599; chronic military campaigning with foreign competitors weakened state army. Outlying political centres resisted central demands and became independent of Pegu in 1590s, made alliances and beseiged Pegu in 1599. These Dynastys could be seperate entries.",,,,,,,,,,,,,FALSE
Saadi Sultanate (Sa'adians),1511,1554,1532.5,,1578,1618,1659,1638.5,64-148 years,106,Empire,Sultanate,Western Africa,Marrakesh,"Seshat (2020), verified with Boum (2016)",Entered a period of instability in 1603 which led to the loss of the Nigerian colony. The date of 1659 refers to the assassination of the last Saadi Monarch.,,,"The later dates (1554 and 1659) appear to be more reliable. The early state formation date refers to when the dynasty was first founded, the later to when the Saadi's took Fez from the Wattasid's (their dynastic rivals).",,Marrakesh,31.63,Africa,-8.008888889,,,,,,,,FALSE
Kingdom of Mysore,1513,1700,1606.5,,,1799,1947,1873,99-434 years,266.5,Kingdom,unknown,Southern Asia,,Lewis (2016),Early end date: Under British colonial rule following seige of siege of Srirangapatna in 1799. Late end date: Became part of the independent India (1947).,,,Mysore fully independent of Vijayanagara by the late 17th Century. Government controlled by British 1831-1881,,,,,,,,,,,,,FALSE
Aceh Sultanate,1514,,1514,,1607,1903,,1903,389-389 years,389,Kingdom,Sultanate,South-Eastern Asia,,Khan (2016),Conquest by Dutch,,,,,,,,,,,,,,,,FALSE
Mughal Empire,1525,1560,1542.5,,1690,1770,1798,1784,210-273 years,241.5,Empire,unknown,Southern Asia,"Agra (1526–1540; 1555–1571; 1598–1648), Fatehpur Sikri (1571–1585), Lahore (May 1586 – 1598) Shahjahanabad, Delhi (1648–1857)","Taagepera (1997) . Confirmed roughly by Seshat (2020) although it suggests a peak date of 1630, underlying cause of collapse from Mackenzie (2016)","Almost total loss of political control in 1770, resulting in dissolution by 1798.","Backdrop of a succession of short reigns in the early 18th century. Invasions by the Persians (1739), Afghans and Marathas (1750s)",,"Empire formation in 1525, followed by Mogul restoration in 1560.",,Agra,27.18,Asia,78.02,Fatehpur Sikri,27.091,77.661,Lahore,31.54972222,74.34361111,,FALSE
Johor-Riau Empire (Old Johor Sultanate),1528,,1528,,1784,1784,1824,1804,256-296 years,276,Empire,Sultanate,South-Eastern Asia,"Johor Lama, Batu Sawar, Pasar Raja, Bintan, Lingga",Borschberg (2016),Early end date: Conquest by the Dutch in 1784. Late end date division of the empire between the Dutch and the British in the Anglo-Dutch treaty (1824),,,,,,,,,,,,,,,,FALSE
French Empire,1530,1610,1570,,1920,1960,1962,1961,350-432 years,391,Empire,unknown,Western Europe / Global,Paris,"Taagepera (1997), underlying cause (Hodson 2016)",,Civil war resulting from uprising for Algerian independence 1959,Transformation from empire into nation-sate.,"1530 was pre-expansion, first conquests in Canada began in 1610.",,Paris,48.856613,Europe,2.352222,,,,,,,,FALSE
Duchy of Parma,1545,1851,1698,,,,1860,1860,9-315 years,162,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,Established in 1545 under the Farnese family. It passed to the Habsburgs in 1731 and tio the Bourbons in 1748.,,Parma,44.801472,Europe,10.328,,,,,,,,FALSE
Tsardom of Muscovy,1547,1547,1547,,,1721,1721,1721,174-174 years,174,Empire,unknown,Eastern Europe,"Moscow, Saint Petersberg.",Monahan (2016),,,,,,,,,,,,,,,,,FALSE
Great Nogai Hordes,1558,,1558,,,1630,,1630,72-72 years,72,Confederacy,Khaganate,Eastern Europe / Central Asia,,Davies (2016),Disintegration peaked in 1630s with civil war between mirzas Tinmametev and Urmametev followed by an invasion by the Kalmyks,,,,The pro-Moscow part of the Nogai Horde after it split into three,,,,,,,,,,,,FALSE
Lesser Nogai Hordes,1558,,1558,,,1630,,1630,72-72 years,72,Confederacy,Khaganate,Eastern Europe / Central Asia,,Davies (2016),,,,Little information/ dates on collapse/ transformation,,,,,,,,,,,,,FALSE
Swedish Empire,1560,,1560,,,,1720,1720,160-160 years,160,Empire,unknown,Northern Europe,Stockholm,Encyclopedia of Empire (2016),"Elite disaffection with war economy, especially the seizue of iron imports. This eventually forced the state into a slow contraction thrugh seeding of conquered territories.",,Transformation: controlled contraction.,,,,,,,,,,,,,,FALSE
Mataram Kingdom/Sultanate,1568,,1568,,1622,1703,1755,1729,135-187 years,161,Empire,Sultanate,South-Eastern Asia,"Kota, Gede, Karta, Plered, Kartosuro","Seshat (2020), late end date and corrresponding note and underlying cause of collapse from Horton (2016).",Conquered by the British Dutch East India Company.,Heavy losses following revolt of Trunajaya 1676. Amangkurat II fled and continued the kingdom in a weakened state with the help of VOC.,,Loose degree of centralisation. Kingdom divided in the treaty of Giyanti.,Continous wiith the Demak Sultanate.,Kota Gede,-7.8283,Asia,110.399803,"Karta (unknown, since it burnt down, however it was in the proximaty of Kota Gede, due south).",,,,,,,FALSE
Grand Duchy of Tuscany,1569,1816,1692.5,,,,1860,1860,44-291 years,167.5,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,The monarchy was established in 1569 when Cosimo de' Medici was elevated from Duchy of Florence to Grand Duchy of Tuscany.,,Florence,43.783333,Europe,11.25,,,,,,,,FALSE
Bourbon Dynasty,1589,,1589,,1723,1789,,1789,200-200 years,200,Kingdom,Dynasty,Western Europe,"Paris, Versailles",Seshat (2020),Vivia la French Revolution! Overthrow of King Louis XVI by popular rebellion.,,Transformation?,Combination of the early and late Bourbon.,Continous with Valois Dynasty.,Paris,48.856613,Europe,2.352222,Versailles,48.8,2.133330556,,,,,FALSE
Astrakhanids/Khanate of Bukhara,1599,,1599,,,1785,,1785,186-186 years,186,Confederacy,Khaganate,Central Asia,Bukhara,Seshat (2020),,,,,,Bukhara,39.76666667,Asia,64.43333333,,,,,,,,FALSE
British Empire,1600,1650,1625,,1920,1936,1975,1955.5,286-375 years,330.5,Empire,unknown,Western Europe / Global,London,"Taagepera (1997), verified by McCreery (2016)","Major losses in World War II, followed by decolonisation, until political control only remains over the UK and small islands.",,Transformation from empire into nation-sate.,Overseas conquests begin 1650 with India. Could be worth breaking this entry up into phases/independence events?,,London,51.50722222,Europe,-0.1275,,,,,,,,FALSE
Kingdom of Dahomey,1600,,1600,,,1892,1904,1898,292-304 years,298,Kingdom,unknown,Western Africa,Abomey,Monroe (2016),Invasion by the French,,,"French successful invasion of capital (Abomey) in 1892. Dahomey became a formal colony/ protectorate of the French in 1904. Start date ""early 17th century"" accordign to oral histories.",,,,,,,,,,,,,FALSE
Ottoman Regency of Algiers,1600,,1600,,,1837,,1837,237-237 years,237,Regency,unknown,Northern Africa,Algiers,Naylor (2016),French invasion,"Epidemics and famine reduced population of Algiers to 30,000 from 100,000 in 19th Century. Tense relations between Algiers and Paris due to unpaid debt owed to regency firm dating from French revolution.",,Regency nominally part of Ottoman Turks but Naylor (2016) argues it had considerable power/ independence between 16th-19th century.,,,,,,,,,,,,,FALSE
Lunda Empire,1600,1700,1650,,1850,1887,,1887,187-287 years,237,Empire,unknown,Central Africa,,"Macola (2016), Thorton (1998) for low state formation date.",Invaded by the Chowke.,,,"Made up of the Lunda/Ruund and Luba kingdoms. Decline from factional fighting accompanying royal succession, slave raiding and the impact of international trade from 1870s. Decline ceased in early 20th century with the opportunitied bought. No information on collapse/transformation",,,,,,,,,,,,,FALSE
Dutch Empire,1602,,1602,,,1815,,1815,213-213 years,213,Empire,unknown,Western Europe / Global,,Raben (2016),Transformed into the Kingdom of the Netherlands in 1815,,,,,,,,,,,,,,,,FALSE
Tokuwaga Shoguns,1603,,1603,,1688,1867,,1867,264-264 years,264,Empire,Shogunate,Eastern Asia,Kyoto,"Hoffman (2015), peak from Seshat (2020).",Resignation of the last Shogun and imperial restoration.,,Transformation into Japanese Empire.,,,Kyoto,35.01166667,Asia,135.7683333,,,,,,,,FALSE
Malagasy empires (Sakalava),1613,,1613,,1800,1831,,1831,218-218 years,218,Kingdom,unknown,Eastern Africa,,Campbell (2016),Defeated by the Merina,,,Transformed from a confederacy of kingdoms into a state.,,,,,,,,,,,,,FALSE
Sultanate of Muscat and Zanzibar (Omani Empire),1624,,1624,,,1861,2016,1938.5,237-392 years,314.5,Empire,Sultanate,Western Asia,"Muscat, Zanzibar",Hoffman (2016),Split into two domains in 1861 following dispute between Majid and Thuwayni (sons of Sayyid Sa'id). Zanzibar given to British Protectorate in 1890 as a result of German expansion in mainland Africa. Sa'id dynasty remain in control of Oman in the present day,,,Struggles over Ya‘rubi dynastic succession led to Persian occupation of parts of Oman from 1719 to 1744,,,,,,,,,,,,,FALSE
Kalmyk Khanate,1630,,1630,,,1724,1771,1747.5,94-141 years,117.5,Confederacy,Khaganate,Eastern Europe,,Lazzerini (2016),Civil war following the death of Aiuka (1724) resulting from Russia naming Aiuka's successor. Set precedent for Russian power over Kalmyks: power to name successors; establishment of a permanent representative; and interference in Kalmyk conflicts.,,,"Late end date refers to the fleeing of ~200,000 Kalmyks to Dzhungaria after which Catherine II abolished the Kalmyk Khanate.",,,,,,,,,,,,,FALSE
Zungharian Empire/Dzungar Khanate,1634,,1634,,1679,1755,,1755,121-121 years,121,Confederacy,Khaganate,Eastern Asia,Unknown,"Seshat (2020), Elverskog (2016)",Annexed by the Qing after internal disputes over succession.,"Elire fracture. Usurping of the throne in 1749 Lamdarja led to elite migration into China. Lamdarja overthrown by dawaachi leading to Qing intervention. Qing conquers and splits Zunghar into 4 houses: Dörböd, Khoshud, Choros and Khoid. Elites rebel again, leading to Qing genocide. 30% of Zünghars killed, 40% ded of disease, 20% fled to Russia and just 10% remained as a small minority in the Xinjiang province.",,,,Ghulja (modern day Yining City),43.916667,Asia,81.316667,,,,,,,,FALSE
Qing Dynasty (Manchu),1636,1644,1640,,,1911,1912,1911.5,267-276 years,271.5,Empire,Imperial Dynasty,Eastern Asia,"Shengjing (Fengtian Prefecture)
(1636–1644), Peking (Shuntian Prefecture)
(1644–1912)","Zhang et al (2005a), Hoffman (2015) for later start date. Later end date by Wilkinson (2018). Proximat cause of collapse from Sze Hang (2016).",Qing dynasty overthrown during the 1911 Rebellion (Xinhai revolution).,Internal rebellions (Taiping and Nian Rebellions) and economic and military pressure from foreign powers (e.g. Opium Wars).,,Later start date is more reliable. The Qing can be divided into two periods: an early period (1644-1796  ) and a Late period (1796-1912). The division between the two was marked by internal turmoil (Seshat 2020).,,Shengjing (Fengtian Prefecture)(1636–1644),41.8,Asia,123.4,Peking (Shuntian Prefecture)(1644–1912),39.91666667,116.3833333,,,,,FALSE
Qasimid Dynasty,1637,,1637,,,1805,,1805,168-168 years,168,Empire,Imperial Dynasty,Western Asia,"Shaharah, Dawran",Seshat (2020),Conquered by the Ottomans in the North and British in the South.,,,,,Shaharah,16.183611,Asia,43.703333,"Dawran (appears to be a distict, not a city).",,,,,,,FALSE
Segou Kingdom/Coulibaly Dynasty,1640,,1640,,1650,1711,,1711,71-71 years,71,Kingdom,Dynasty,Western Africa,Torone,Seshat (2020),Integration under Kaladian Kulibali (or Coulibaly) fell apart after his death. In 1712 Biton Kulibali rose up and formed the Bamana Kingdom. By then it appears that the region had already framgneted into several smaller communities rule by a gerontocracy. Thus it's end date may even be earlier.,,,Combine with Bamana Kingdom?,,Torone,39.98723056,Europe,23.90293889,,,,,,,,FALSE
Ashanti (Asante) Empire,1650,1701,1675.5,,1800,1895,1901,1898,194-251 years,222.5,Empire,unknown,Western Africa,Kumasi,"Seshat (2020), B.Sapong (2016)",Conquered by the British,Ashanti control of coastal states viewed by British as an impediment to British trading activities,,"Asante recognised as a Kingdom by Colonial government in 1935, remains so as of 2016",,Kumasi,6.666666667,Africa,-1.616666667,,,,,,,,FALSE
Asante Kingdom,1650,,1650,,1801,1901,2016,1958.5,251-366 years,308.5,Empire,Kingdom,Western Africa,,B.Sapong (2016),British Colonial Expansion,Asante control of coastal states viewed by British as an impediment to British trading activities,,"Asante recognised as a Kingdom by Colonial government in 1935, remains so as of 2016",,,,,,,,,,,,,FALSE
Maravi Kingdom,1650,,1650,,,1850,,1850,200-200 years,200,Kingdom,unknown,Eastern Africa,,Newitt (2016),"Disintegration because of the great famine of the 1820s, slave trade, Yao migrations and the coming of the Ngoni.",,,Referenced to by the Portuguese in the second half of the 17th century - Actual start date probably earlier. Referred to by the Portuguese as Karonga or Kalonga.,,,,,,,,,,,,,FALSE
Maratha Empire,1656,,1656,,1761,1818,,1818,162-162 years,162,Empire,unknown,Southern Asia,"Satara, Pune",O'Hanlon (2016),Defeat by the British East India Company (1818),"A number of reasons for defeat proposed including: Maratha spreading themselves too thinly across North India, poor cohesion amongst cheifs and deficiencies in Brahman caste leadership",,Defeat by Afghan armies in 1761 reduced empire to a husk but empire recovered afterwards.,,,,,,,,,,,,,FALSE
Alawite Dynasty,1664,,1664,,,2016,,2016,352-352 years,352,Kingdom,unknown,Northern Africa,,Boum (2016),,,,Under French Protectorate between 1912 and 1956. Perhaps should be split up? E.g. nation state after 1956 independence,,,,,,,,,,,,,TRUE
Amamate of Futa Jalon,1700,1800,1750,1800,,1896,,1896,96-196 years,146,Kingdom,unknown,Western Africa,,Robinson (2016),Conquest by the French; incorporated into the colony of Guinea,,,,,,,,,,,,,,,,FALSE
Lozi Empire,1700,1800,1750,,,1890,,1890,90-190 years,140,Empire,unknown,Eastern Africa,,Hogan (2016),Came under British protectorate,"British protectorate appealling given the threat to the Lozi from the Portuguese, Boers and Ndebele",,Fragmentation following death of litunga Mulambwa in the 1840s shortly followed by being overrun by the Kololo. Lozi exiles regained power in 1864,,,,,,,,,,,,,FALSE
Ndwandwe,1700,1800,1750,,,1825,,1825,25-125 years,75,Empire,unknown,Southern Africa,,Ndlovu-Gatsheni (2016),,,,These polities come under the Nguni Empires entry in The Encyclopedia of Empires: Dates/ reasons for collapse/transformation limited for each but split up as they are distinct polities.,,,,,,,,,,,,,FALSE
Kong (Ouattara or Wattara) Empire,1710,,1710,,1730,1895,,1895,185-185 years,185,Empire,unknown,Western Africa,Khorhogo,Djata (2016).,Conquest by Samori Ture,Became a target of Samori Ture in his war against the French by signing an agreement with the French in 1895,,,,,,,,,,,,,,,FALSE
Bamana Kingdom,1712,,1712,,1800,1861,,1861,149-149 years,149,Kingdom,unknown,Western Africa,Segu-Si-Koro Segu-Koro,"Seshat (2020), Cause disputed by Djata (2016) (see notes)","El Hajj Umar Tall seized the capital in 1861, bringing it under the Toucouleur empire.",,,Djata (2016) argues that the Bamana resisted the 'Umarian encroachment until the end of the 19th century when the French began conquering the region,,Ségou,13.45,Africa,-6.266667,,,,,,,,FALSE
Russian Empire,1721,1721,1721,,,1917,1917,1917,196-196 years,196,Empire,unknown,Eastern Europe,"Saint Petersburg, Moscow.",O'Rourke (2016).,,,,,,,,,,,,,,,,,FALSE
Afshar Dynasty (Later Persian Empire),1736,,1736,,,1779,1779,1779,43-43 years,43,Empire,unknown,Western Asia,Mashad,Garthwaite (2016),Last of the Afshar Dynasty killed by Qajar leader Agha Muhammad,Succession crises/anarchy following Nadir Shah's assassination in 1747,,,,,,,,,,,,,,,FALSE
The Durrani Empire,1747,,1747,,1761,1826,,1826,79-79 years,79,Empire,unknown,Southern Asia,"Kandahar (Vogelslang 2016), Peshwar, Kabul","Seshat (2020), verified with Vogelslang (2016).",Break-up into civil war.,,,,,Peshwar,34.01666667,Asia,71.58333333,Kabul,34.52527778,69.17833333,,,,,FALSE
Burmese Empire III (Konbaung Dynasty),1752,,1752,,,1886,,1886,134-134 years,134,Empire,unknown,South-Eastern Asia,,Charney (2016),Annexed by British Empire,,,,,,,,,,,,,,,,FALSE
Futa Toro amamate (Toorodbe),1770,,1770,,,1870,1890,1880,100-120 years,110,Kingdom,unknown,Western Africa,,Robinson (2016),Conquest by the French; incorporated into the colony of Senegal/Maurituana),,,End date given only as 'end of the 19th century),,,,,,,,,,,,,FALSE
United States of America,1776,,1776,,,,2016,2016,240-240 years,240,Nation state,unknown,North America,Washington D.C,Correlates of War (2020),,,,,,Washington D.C,38.904722,N.America,-77.016389,,,,,,,,TRUE
Kingdom of Hawaii - Kamehameha Period,1778,,1778,,1810,1819,,1819,41-41 years,41,Kingdom,Dynasty,Polynesia,,Seshat (2020),Period ended with the death of King Kamehameha I.,,,Combine with Kingdom of Hawaii - Post-Kamehameha Period? 1580 is the period when the island first became unified. 1778 is the first contact of European settlement and Seshat's beginning for the Kamehameha period.,,Kailua-Kona,19.65,,-155.994167,,,,,,,,FALSE
Qajar Dynasty (Later Persian Empire),1779,1796,1787.5,,,1925,1926,1925.5,129-147 years,138,Empire,unknown,Western Asia,Tehran,Garthwaite (2016),Replaced by the Pahlavi Dynasty in 1926,Insufficient adaptation (revolution) to changing global political context and increasing power of Russia and Great Britain - resulted in territory losses in the 19th century.,,Encyclopedia entry gives two different dates for the dynasty 1779-1925 and 1796-1926,,,,,,,,,,,,,FALSE
Mthethwa Kingdom,1780,,1780,,,1820,,1820,40-40 years,40,Kingdom,unknown,Southern Africa,,Ndlovu-Gatsheni (2016),Defeated in conflict with the Ndwandwe,,,These polities come under the Nguni Empires entry in The Encyclopedia of Empires: Dates/ reasons for collapse/transformation limited for each but split up as they are distinct polities.,,,,,,,,,,,,,FALSE
Sikh Empire,1799,,1799,,,,1899,1899,100-100 years,100,Empire,unknown,Southern Asia,"Lahore
",Encyclopedia of Empire (2016),Death of Maharaja Ranjit Signh followed by annexation by the British Empire.,,,,,,,,,,,,,,,,FALSE
Massina Empire,1800,,1800,,,1862,,1862,62-62 years,62,Empire,unknown,Western Africa,Hamdallay,Brodnicka (2016),El Hadj Umar Tall successfully waged a jihad against the empire,Little resistance from Massina because the last Caliph (Amadu Amadu) was less valiant in war and more lax about rule of the empire,,,,,,,,,,,,,,,FALSE
Malagasy empires (Merina),1800,,1800,,,1895,,1895,95-95 years,95,Empire,unknown,Eastern Africa,Antananarivo,Campbell (2016),Colonial takeover by the French (1895),Agricultural base of imperial economy undermined by fanompoana and brigand raids on highland communities.,,Start date: Merina subjugation of neighbouring polities began by 1800. No earlier start date given,,,,,,,,,,,,,FALSE
Hesse Electoral,1803,1814,1808.5,,,,1866,1866,52-63 years,57.5,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,Restored into an elecorate in 1814 by the Congress of Vienna after being annexed,,Kassel,51.3158,Europe,9.4979,,,,,,,,FALSE
